Timestamp, Stream1, Stream2, Stream3, Stream4, Overall, Truth
[2016-07-05 20:02:30.424], False, True, False, False, True, True
[2016-07-05 20:02:30.534], False, True, False, False, True, True
[2016-07-05 20:02:30.644], False, True, False, False, True, True
[2016-07-05 20:02:30.791], False, True, False, False, True, True
[2016-07-05 20:02:30.902], False, True, False, False, True, True
[2016-07-05 20:02:31.012], False, True, False, False, True, True
[2016-07-05 20:02:31.159], False, True, False, False, True, True
[2016-07-05 20:02:31.270], False, True, False, False, True, True
[2016-07-05 20:02:31.380], False, True, False, False, True, True
[2016-07-05 20:02:31.527], False, True, False, False, True, True
[2016-07-05 20:02:31.637], False, True, False, False, True, True
[2016-07-05 20:02:31.747], False, True, False, False, True, True
[2016-07-05 20:02:31.894], False, True, False, False, True, True
[2016-07-05 20:02:32.005], False, True, False, False, True, True
[2016-07-05 20:02:32.115], False, True, False, False, True, True
[2016-07-05 20:02:32.262], False, True, False, False, True, True
[2016-07-05 20:02:32.372], False, True, False, False, True, True
[2016-07-05 20:02:32.482], False, True, False, False, True, True
[2016-07-05 20:02:32.629], False, True, False, False, True, True
[2016-07-05 20:02:32.740], False, True, False, False, True, True
